a_max,y_limit,omega_deg,cost_variant,r_sync,success_count,min_range,max_lateral_excursion,total_dv_mean,total_dv_std,constraint_violations_total,qp_failures_total,r_final_mean,r_final_std
0.02,150,2,A,32.828063500117445,0,150.0,237.8124362151195,0.9209570265009136,8.92268878014965e-05,0,520,298.0792697003226,2.995342803959901
0.1,30,3,A,72.95125222248319,10,0.5499829974063166,35.615370398892566,8.269082330079337,0.8460063729284149,1530,335,0.5500039351581272,3.020133145511626e-16
0.1,100,3,A,72.95125222248319,0,100.0,198.69956336494656,4.534587581193291,0.007283162435113596,56034,520,188.07770629831828,4.091045920813463
0.1,150,3,A,72.95125222248319,0,150.0,295.2632698435009,3.879724328947295,0.037176816018388154,56030,438,304.7407962833644,2.5658340627572356
0.06,30,3,A,43.77075133348991,10,0.2748622388238583,48.26857508730386,9.125537141628639,1.316636362484136,11237,1490,0.5500003936379867,1.0132876057426752e-15
0.06,100,3,A,43.77075133348991,0,100.0,197.91079867596432,2.2268835189940983,0.016512234973140506,39324,419,204.56858710302845,2.744628700871464
0.06,150,3,A,43.77075133348991,0,150.0,265.1508924865336,2.019639173038807,0.0002829752193594163,11262,380,305.8834286993982,3.1914272609852445
0.02,30,3,A,14.59025044449664,0,30.0,72.71000629116297,0.7491896839375898,0.017771291670273224,33984,423,66.18801224594525,4.582175288512522
0.02,100,3,A,14.59025044449664,0,100.0,171.9043896210276,0.6197759207598273,5.619433696554448e-05,0,350,204.62312798018996,3.029054870542874
0.02,150,3,A,14.59025044449664,0,150.0,234.70510406093462,0.6016693173340584,2.3750043105130594e-05,0,340,303.6736269216402,2.927718405632088
0.1,30,4,A,41.0350793751468,10,0.5279275664905582,49.88750263743454,15.817607321919747,1.721843150376321,7028,916,0.5500024295690158,2.6272671962866383e-16
0.1,100,4,A,41.0350793751468,0,100.0,202.61523154944,2.835327471081556,0.0010252275030589676,45666,320,208.51979665371664,3.5273845668551944
0.1,150,4,A,41.0350793751468,0,150.0,314.06871819385793,2.857807062957959,0.00038268067855208766,51335,320,331.6119786280155,3.4946628814569043
0.06,30,4,A,24.62104762508808,10,0.5499070393723432,70.97280525942352,9.226034348907975,1.3063433203031714,17058,2383,0.5500003618815658,1.1890224251981702e-14
0.06,100,4,A,24.62104762508808,0,100.0,219.00977398029096,1.7172713927863732,0.00029884846114857104,45670,320,225.33437692981389,3.5371881936175606
0.06,150,4,A,24.62104762508808,0,150.0,330.49170788915103,1.7240602283821183,0.00012133683690677826,51337,320,348.64317276919166,3.498364744739037
0.02,30,4,A,8.207015875029361,0,30.0,80.17328398610226,0.572189217822675,0.0005068071296436184,34480,320,72.82723062464409,5.488961419196612
0.02,100,4,A,8.207015875029361,0,100.0,235.8348014144662,0.5767900080083919,2.8366710346402812e-05,45676,320,242.46244042347718,3.5410850288337565
0.02,150,4,A,8.207015875029361,0,150.0,347.1932243942034,0.5774337850646534,1.2715068083605361e-05,51342,320,365.8607557627704,3.4999672742767105
0.1,30,5,A,26.262450800093955,8,0.549939848252565,67.39493026448477,18.42166612525076,1.849828191431808,9100,1234,0.5504053122888438,3.4006187425929225e-15
0.1,100,5,A,26.262450800093955,0,100.0,271.50124860147355,2.9054559395506536,0.0005837340348697397,57601,320,260.2698807731933,4.275032190036233
0.1,150,5,A,26.262450800093955,0,150.0,421.2970084646091,2.918474861950778,0.00022642104479003817,57607,320,409.34713439679103,4.230234467805605
0.06,30,5,A,15.757470480056371,0,30.0,79.23265987431633,1.7157904697669468,0.004955044995303249,51925,320,72.7724867086636,6.58251829328967
0.06,100,5,A,15.757470480056371,0,100.0,288.7467873134949,1.752618217818592,0.00017821192448952205,57604,320,277.5227843848089,4.280882239634615
0.06,150,5,A,15.757470480056371,0,150.0,438.65519110008296,1.7566970222111002,7.395302099661225e-05,57609,320,426.7316145412263,4.2325298399128
0.02,30,5,A,5.252490160018791,0,30.0,96.2489291044984,0.5840674744472756,0.00030119587123933955,57612,320,89.74116671588669,6.642319304396615
0.02,100,5,A,5.252490160018791,0,100.0,306.159106343253,0.5868540985217167,1.780168521680108e-05,57611,320,294.9680885051174,4.283332619667761
0.02,150,5,A,5.252490160018791,0,150.0,456.1145440873368,0.5872533359589853,8.155744480708417e-06,57611,320,444.2337209302673,4.233557436963566
0.1,30,1,B,656.5612700023488,10,0.5499576769829623,23.101525844792164,11.731364539474857,0.8352464677481339,2717,270,0.5500027412059649,2.16401190259738e-09
0.1,100,1,B,656.5612700023488,10,0.012193570088898726,56.5113257545707,11.28525521287445,2.9440395276685054,8921,1624,0.5500027426226612,4.1686324383868296e-14
0.1,150,1,B,656.5612700023488,10,0.43597747529972647,91.99125171206914,10.747899340317465,0.47910227195530664,12720,2118,0.5500027407335406,2.3136810264484145e-09
0.06,30,1,B,393.9367620014093,10,0.5006782457626997,23.81281481249989,5.184415393835082,1.2209085046168384,3358,649,0.5500005859652423,3.220760177224598e-11
0.06,100,1,B,393.9367620014093,10,0.09180786387734935,67.25082345003626,5.606608649694611,0.2536870753392333,14354,2313,0.5500005859830724,9.124113171780844e-11
0.06,150,1,B,393.9367620014093,10,0.2787017344650604,123.47377816490352,6.988261705364124,0.9463359099958435,24818,3415,0.5500005859790302,2.608211048155157e-10
0.02,30,1,B,131.31225400046978,10,0.08696904482622622,28.36917912748918,2.0394912683189306,0.10891804403977288,13884,2238,0.5500000125609654,4.1197044993313115e-11
0.02,100,1,B,131.31225400046978,0,86.56978427637229,141.47341330265903,2.3842561732024685,0.03041461607638751,37341,6000,95.11462640575832,8.00701094270266
0.02,150,1,B,131.31225400046978,0,150.0,64.92807652097326,0.844554534503834,0.0003246077526312514,0,520,189.12209148810535,1.9530465655550981
0.1,30,2,B,164.1403175005872,10,0.5499865410251107,24.471198437635163,13.6041231018442,1.3737460977287446,1169,154,0.550005935911166,2.526326751456244e-13
0.1,100,2,B,164.1403175005872,10,0.5500000000065349,114.14488651778788,19.304564165324088,1.5536162816639112,17166,2241,0.550005935814862,1.4380618376741153e-10
0.1,150,2,B,164.1403175005872,0,150.0,173.67135846092577,4.29131013434954,0.005895670209962963,0,520,214.31503204577945,2.8880099007756224
0.06,30,2,B,98.48419050035233,10,0.4098829508387103,30.873677337824564,5.283908990679457,0.6125899467056292,3657,740,0.5500010922689103,1.5834286698698304e-13
0.06,100,2,B,98.48419050035233,0,100.0,127.74046874860022,2.612751756177713,0.004073823503405278,5484,520,150.47840246676142,2.953966139840888
0.06,150,2,B,98.48419050035233,0,150.0,203.4472401374598,2.6929659505469328,0.0012111512262963846,0,520,254.50353345717357,2.971436060755086
0.02,30,2,B,32.828063500117445,0,0.2830415904539672,57.89369343899339,1.7204309614385889,0.4179659637491147,37441,5930,17.06512331519446,11.762541647323356
0.02,100,2,B,32.828063500117445,0,100.0,161.69566173000337,0.9161755272640706,0.00021636676157629493,0,520,192.53590888106737,3.0278822185699292
0.02,150,2,B,32.828063500117445,0,150.0,237.8124362151195,0.9209570265009136,8.92268878014965e-05,0,520,298.0792697003226,2.995342803959901
0.1,30,3,B,72.95125222248319,10,0.549987793274678,35.615370398892566,8.233276123071299,0.814161615089406,1521,333,0.5500041700614137,3.528343968566428e-16
0.1,100,3,B,72.95125222248319,0,100.0,198.69956336494656,4.534587581193291,0.007283162435113596,56034,520,188.07770629831828,4.091045920813463
0.1,150,3,B,72.95125222248319,0,150.0,295.2632698435009,3.879724328947295,0.037176816018388154,56030,438,304.7407962833644,2.5658340627572356
0.06,30,3,B,43.77075133348991,10,0.549914674060084,48.26857508730386,8.879409366502014,1.2009348300489968,10363,1409,0.5500006472773519,4.536996720916908e-16
0.06,100,3,B,43.77075133348991,0,100.0,197.91079867596432,2.2268835189940983,0.016512234973140506,39324,419,204.56858710302845,2.744628700871464
0.06,150,3,B,43.77075133348991,0,150.0,265.1508924865336,2.019639173038807,0.0002829752193594163,11262,380,305.8834286993982,3.1914272609852445
0.02,30,3,B,14.59025044449664,0,30.0,72.71000629116297,0.7491896839375898,0.017771291670273224,33984,423,66.18801224594525,4.582175288512522
0.02,100,3,B,14.59025044449664,0,100.0,171.9043896210276,0.6197759207598273,5.619433696554448e-05,0,350,204.62312798018996,3.029054870542874
0.02,150,3,B,14.59025044449664,0,150.0,234.70510406093462,0.6016693173340584,2.3750043105130594e-05,0,340,303.6736269216402,2.927718405632088
0.1,30,4,B,41.0350793751468,10,0.28124776472855434,49.88750263743454,14.193495921800382,0.9984124502660073,7400,937,0.5500153749200987,2.3139562213204503e-15
0.1,100,4,B,41.0350793751468,0,100.0,202.61523154944,2.835327471081556,0.0010252275030589676,45666,320,208.51979665371664,3.5273845668551944
